Game,Category,Description,CPU,GPU,RAM,File Size
Rise of the Tomb Raider,Action / Adventure / FPS,"Rise of the Tomb Raider: 20 Year Celebration includes the base game and Season Pass featuring all-new content. Explore Croft Manor in the new “Blood Ties” story, then defend it against a zombie invasion in “Lara’s Nightmare”.",Intel Core i3-2100,NVIDIA GeForce GTX 650,6 GB,25 GB
Mafia: Definitive Edition,Action / Adventure / FPS,"An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore.",Intel Core i5-2550K,NVIDIA GeForce GTX 660,6 GB,50 GB
Need for Speed Most Wanted (2012),Action / Racing / Adventure,"The open-world action in Need for Speed Most Wanted gives you the freedom to drive your way. Hit jumps and shortcuts, switch cars, lie low or head for terrain that plays to your vehicle’s unique strengths. Fight your way past cops and rivals using skill, high-end car tech and tons of nitrous.",Intel Core 2 Duo T7250,ATI Radeon 3000,2 GB,20 GB
Assassin's Creed III,Adventure / FPS,"The American Colonies, 1775. As a Native American assassin fights to protect his land and people, he will ignite the flames of a young nation’s revolution.",Intel Core 2 Duo E8200,NVIDIA GeForce 7200 GS,2 GB,17 GB
Fallout 76,RPG / FPS,"Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.",Intel Core i5-6600K,NVIDIA GeForce GTX 780,8 GB,80 GB
Hollow Knight,Action / Indie / Adventure,"Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.",Intel Pentium E5200,AMD GeForce 9800 GTX,4 GB,9 GB
Sifu,Unknown,"Sifu is the new game of Sloclap, the independent studio behind Absolver. A third-person action game featuring intense hand-to-hand combat, it puts you in control of a young Kung-Fu student on a path of revenge.",AMD FX-4350,AMD Radeon R7 250,8 GB,22 GB
eFootball  PES 2020,Unknown,Experience unparalleled realism and authenticity in this year's definitive football game: PES 2020.,Intel Core i5-3470,AMD Radeon HD 7870,4 GB,40 GB
Commandos: Origins,Unknown,ALARM! You have been selected for a mission which will shape the fate of the entire world. Witness the very beginning of the legendary elite WWII force in Commandos: Origins. The long-awaited sequel to the Commandos series brings you right back to the foundation of the real-time tactics genre.,Intel Core i5-4690K,AMD Radeon RX 580  / GeForce GTX 970,8 GB,31 GB
Planet Zoo,Strategy / Casual / Simulation,"Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them.",Intel Core i5-2500,AMD Radeon R9 270X,8 GB,16 GB
RoboCop: Rogue City,Action / Adventure,"Become the legendary part man, part machine, all cop hero and deliver justice in Old Detroit.",Intel Core i7-4790  / Ryzen 5 2600,NVIDIA GeForce GTX 1650  / Radeon RX 480,16 GB,Unknown
Max Payne 3,Action / FPS / Third-person shooter,"No longer a New York City cop, Max Payne moves to São Paulo to protect a wealthy family in an effort to finally escape his troubled past. This complete edition of Max Payne 3 includes the complete original game and all previously released downloadable content.",Intel Core 2 Duo E8400,NVIDIA GeForce 8600 GT,2 GB,35 GB
HITMAN 2,Action / FPS / Third-person shooter,"Travel the globe and track your targets across exotic sandbox locations in HITMAN™ 2. From sun-drenched streets to dark and dangerous rainforests, nowhere is safe from the world’s most creative assassin, Agent 47 in the ultimate spy thriller story.",AMD Phenom II X4 940,NVIDIA GeForce GTX 660,8 GB,60 GB
Assassin's Creed,Action / Adventure / FPS,"Assassin's Creed™ is the next-gen game developed by Ubisoft Montreal that redefines the action genre. While other games claim to be next-gen with impressive graphics and physics, Assassin's Creed merges technology, game design, theme and emotions into a world where you instigate chaos and become a vulnerable, yet powerful, agent of...",AMD Athlon 64 X2 4400+,ATI FireMV 2400 PCIe,4 GB,8 GB
Lies Of P,Action / RPG / Adventure,"Lies of P is a thrilling soulslike that takes the story of Pinocchio, turns it on its head, and sets it against the darkly elegant backdrop of the Belle Epoque era.",Intel Core i3-6300  / Ryzen 3 1200,AMD Radeon RX 560  / GeForce GTX 960,8 GB,50 GB
Star Wars Outlaws,Action / RPG,"Explore the first open-world Star Wars game set between The Empire Strikes Back and Return of the Jedi. Travel to famous and new planets as Kay Vess, a rogue looking for freedom and a fresh start, with her sidekick, Nix. Battle, steal, and scheme through the galaxy's criminal underworld. If you're bold enough, the galaxy offers endless opportunities.",Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1660  / GeForce FX 5600XT,16 GB,65 GB
Call of Duty: Black Ops - Cold War,Action / MMO,"Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more. Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences.",Intel Core i5-2500K,NVIDIA GeForce GTX 670,8 GB,175 GB
Call of Duty Black Ops,Action / FPS,The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.,Intel Core 2 Duo E6600,NVIDIA GeForce 8600 GT,2 GB,12 GB
Stray,Indie / Adventure / FPS,"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.",Intel Core i5-2300,AMD Radeon R7 360,8 GB,10 GB
The Lab,Free to Play / FPS,"Welcome to The Lab, a compilation of Valve’s room-scale VR experiments set in a pocket universe within Aperture Science. Fix a robot, defend a castle, adopt a mechanical dog, and more. Still not sold? It’s free!",Intel Core i5-4590,NVIDIA GeForce GTX 970,4 GB,Unknown
The Isle,Action / Indie / Adventure,Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.,Intel Core 2 Quad Q9650,NVIDIA GeForce GTX 960,8 GB,25 GB
Middle-earth: Shadow of War,Action / RPG / Adventure,"Experience an epic open-world brought to life by the award-winning Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth™: Shadow of War™.",Intel Core i5-2300,NVIDIA GeForce GTX 660,6 GB,70 GB
Buckshot Roulette,Action / Indie / Simulation,Play Russian roulette with a 12-gauge shotgun. Four enter. One leaves. Roll the dice with your life. Good luck!,Intel Core i3-2340UE,NVIDIA GeForce GTX 1060,2 GB,512 MB
Until Dawn,Unknown,"Rebuilt and enhanced for PC – Until Dawn invites you to relive the nightmare, and immerse yourself in a gripping slasher horror where every decision can make the difference between life and death.",Intel Core i7-4790K,NVIDIA GeForce GTX 1660,8 GB,70 GB
DYNASTY WARRIORS: ORIGINS,Action / Strategy / RPG,Become immersed in exhilarating battles as a nameless hero in the Three Kingdoms,Intel Core i5-8400,NVIDIA GeForce GTX 1060,12 GB,50 GB
PRO EVOLUTION SOCCER 2018,Unknown,"'Where Legends Are Made' encapsulates the return of PES, with an unparalleled gameplay experience.",Intel Core i5-3450,AMD Radeon HD 7750,8 GB,30 GB
Diablo 2: Resurrected,Action / RPG,Diablo 2: Resurrected is a remaster 21 years in the making. Step back into the shoes of a hero of humanity to follow the Dark Wanderer once again and thwart minions from hell - this time with 3D sprites.,Intel Core i3-3250,NVIDIA GeForce GTX 660,8 GB,30 GB
Street Fighter 6,Action / Adventure / Fighting,"Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.",Intel Core i5-7500  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 580,8 GB,60 GB
Risk of Rain 2,Action / Indie / Early Access,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.",Intel Core i3-6100  / FX-8350,NVIDIA GeForce GTX 580  / Radeon HD 7870,4 GB,4 GB
Farming Simulator 22,Unknown,"Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.",Intel Core i5-3330,NVIDIA GeForce GTX 660,8 GB,35 GB
Deep Rock Galactic,Action / Casual / Racing,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.",Intel Core i5-12400T,Unknown,6 GB,3 GB
Game of Thrones: Kingsroad,Action / RPG / Adventure,"A story-driven action-adventure RPG, bringing the world of Westeros to life with remarkable detail and never-before seen scale.",Intel Core i5-2500K,NVIDIA GeForce GTX 1060,8 GB,60 GB
Tomb Raider,Action / Adventure / FPS,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,Intel Core 2 Duo Q6867,Unknown,1 GB,12 GB
Dead Space,Action / Adventure / FPS,"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original game’s thrilling vision.",Intel Core i5-6500  / Ryzen 5 2600X,NVIDIA GeForce GTX 970  / Radeon RX 5700,8 GB,50 GB
Battlefield 3,Action / FPS,"Enjoy total freedom to fight the way you want. Explore 29 massive multiplayer maps and use loads of vehicles, weapons, and gadgets to help you turn up the heat. Every second of battle gets you closer to unlocking tons of extras and moving up in the Ranks. So get in the action.",Intel Core 2 Duo T7250,ATI Radeon 3000,2 GB,20 GB
Need for Speed Rivals,Action / Racing / Adventure,Erase the line between single player and multiplayer in this street-racing rivalry between Cops and Racers. Seamlessly join a world where your friends are already racing and chasing.,Intel Core 2 Duo E4600,Intel HD 4000,4 GB,30 GB
Adobe Illustrator,Unknown,"Adobe Illustrator is the industry-leading graphic design tool that lets you design anything you can imagine - from logos and icons to graphics and illustrations - and customise it with professional-level precision, as well as time-saving features like Repeat for Patterns or Global Edits. You can use the graphics you create with Illustrator in any size digital or print format and be confident they’ll look exactly the way you designed them.",Unknown,Unknown,Unknown,Unknown
UFL,Sports / Simulation,UFL is a free-to-play competitive football game that provides an exciting and fair sports gaming experience. ADD TO YOUR WISHLIST!,Intel Core i7-6700K,Unknown,12 GB,30 GB
Left 4 Dead 2,Action / Violent / Gore,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",Intel Pentium 4 3.00GHz,NVIDIA GeForce 6600,2 GB,13 GB
Two Point Museum,Strategy / Casual / Indie,"Curate and manage incredible museums! Explore to discover amazing artifacts. Design and refine the layout, keep staff happy, guests entertained, donations plentiful… and children off the exhibits",Intel Core i3-8100,Unknown,6 GB,8 GB
Call of Duty,Action / FPS,Call of Duty® delivers the gritty realism and cinematic intensity of World War II's epic battlefield moments like never before.,Intel Pentium III 1400 @ 1400MHz,Unknown,128 MB,4 GB
Poppy Playtime,Action / Indie / Adventure,You must stay alive in this horror/puzzle adventure. Try to survive the vengeful toys waiting for you in the abandoned toy factory. Use your GrabPack to hack electrical circuits or nab anything from afar. Explore the mysterious facility... and don't get caught.,Intel Core i5-12400T,AMD Radeon RX 580,8 GB,20 GB
